trend_following,mean_reversion,breakout,momentum
55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55000000.0
55000000.0,55000000.0,55000000.0,55012141.8359892
55000000.0,55000000.0,55000000.0,55117631.30690735
55000000.0,55000000.0,55000000.0,55386077.45099525
55000000.0,55000000.0,55000000.0,55075376.18839091
55000000.0,55000000.0,55000000.0,55501628.69187163
55000000.0,55000000.0,55000000.0,55701898.37505555
55000000.0,55000000.0,55000000.0,56179083.454024345
55000000.0,55000000.0,55000000.0,56192170.7478189
55000000.0,54995820.050000004,55000000.0,56746999.12068998
55000000.0,55016109.37,55000000.0,56806814.279030345
55000000.0,55013495.4308191,55000000.0,56305645.00669523
55000000.0,54987593.86346178,55000000.0,56541548.23241773
55000000.0,54989004.43522268,55000000.0,56078219.81144153
55000000.0,55004093.684186704,55000000.0,56387053.07312992
55000000.0,54970698.76182677,55000000.0,56434280.52115251
55011167.59,54935503.73182676,55049339.64621416,57144314.073287986
55065093.120000005,54948531.93977919,55021669.16529883,57439503.72624838
55069635.07,55075888.18309881,54983857.620817035,57353728.094058625
55100447.44,55191023.69369477,55004021.56653173,58133203.44565009
54982084.7,55063834.94299368,54897411.565465935,57772924.770446956
55115981.67,54978086.97527076,54914295.38317199,58380013.4223367
54809982.27,54643902.463206396,54682641.44350603,57248405.910116024
54798007.77,54329383.16771792,54686260.979488775,57140609.46384422
54882877.32999999,54049253.301772244,54696966.485885695,57295523.830759704
54870212.669999994,54132039.414318204,54780991.63070892,57669682.56433299
54795814.959999986,54002343.11212031,54694933.0266998,57762241.51035352
54743432.05999999,53784031.96336347,54545296.917889595,56843040.87545659
54887039.06999999,53650384.28348292,54591584.65226579,57454028.83955706
55007733.06999999,53481698.21656236,54793538.99181768,58149287.09528267
55063040.309999995,53301066.34406952,54771216.33263529,58017270.1053504
54988556.64999999,53253329.62544481,54636990.70139579,57743239.812630855
54951143.099999994,52940185.41746479,54616842.844378464,57865913.03437161
54699711.74999999,52913263.677464806,54166039.46071607,56501133.548919596
